"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\BlogPostsSort.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 4, 23
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\blog\index.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\GenerateReport.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 2, 9, 110
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\IAssetLanding.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 2, 11, 56
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\IAssetSubMenu.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 1, 7, 46
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\iasset\UserSpanTable.js", "JavaScript", 0, 0, 0, 0, 0, 250, 0, 6, 44, 300
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\ProductCard.js", "JavaScript", 0, 0, 0, 0, 0, 65, 0, 5, 9, 79
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\ProductCartWidget.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 4, 5, 41
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\ProductFilterSidebar.js", "JavaScript", 0, 0, 0, 0, 0, 163, 0, 4, 14, 181
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\ProductList.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 2, 4, 23
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\ProductSort.js", "JavaScript", 0, 0, 0, 0, 0, 52, 0, 3, 7, 62
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\products\index.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\user\UserListHead.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 2, 6, 75
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\user\UserListToolbar.js", "JavaScript", 0, 0, 0, 0, 0, 72, 0, 4, 8, 84
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\sections\@dashboard\user\index.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
